Id,AegisName,Name,ClientName,ClientResource,ClientServerTag,Category,Type,SubType,Locations,EquipLevelMin,EquipLevelMax,Slots,ClientSlots,View,ClientClassNum,Refineable,Gradable,ShopPrice
490286,1LvClip,1Lv Clip,Level 1 Clip,Å¬¸³,,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
2709,5_Anniversary_Coin,5th Anniversary Coin,G10 Anniversary Coin,Æ÷¸µÄÚÀÎ,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2751,Academy_Badge,Academy Of Badge,Academy Badge,¾ÆÄ«µ¥¹Ì¹îÁö,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2767,Acolyte_Figure,Acolyte Figure,Acolyte Figure,º¹»çÇÇ±Ô¾î,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2776,Cool_Towel,Adventurer's Trusty Towel,Adventurer's Trusty Towel,Ãß¾ïÀÇ¼ö°Ç,,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
2741,All_In_One_Ring,All In One Ring,All in One Ring,¸µ¿Àºê·¹Á¶³Í½º,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2834,F_All_In_One_Ring,All In One Ring,All In One Ring,¸µ¿Àºê·¹Á¶³Í½º,iRO,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
32266,Aquarius_Ring_J,Aquarius Ring,Aquarius Ring,Aquarius_Ring_J,jRO,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2769,Archer_Figure,Archer Figure,Archer Figure,±Ã¼öÇÇ±Ô¾î,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2706,Handcuff,Arrest Handcuffs,Arrest Handcuffs,¼ö°©,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
5823,Love_Arrow,Arrow of Love,Arrow of Love,»ç¶ûÀÇÈ­»ì,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2960,Badge_Of_Manny,Badge Of Manny,Badge of Manny,¸Å´Ï¹îÁö,bRO,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
5825,Badge_Of_Order_Grace,Badge Of Order Grace,Knight of Honor Badge,±â»çÀÇ¿µ¿¹,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2753,Beholder_Ring,Beholder Ring,Beholder Ring,ÅÂ±¹¹ÝÁö,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
2655,Bloody_Iron_Ball,Bloodied Shackle Ball,Bloody Iron Ball,ÇÇ¹¯ÀºÃ¶±¸,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
28388,Bloody_Iron_Ball_,Bloodied Shackle Ball,Bloody Iron Ball,ÇÇ¹¯ÀºÃ¶±¸,jRO,Accessories,Armor,,Both_Accessory,0,0,1,1,0,0,False,False,100000
2710,Bloody_Iron_Ball_C,Bloody Iron Ball,Bloody Iron Ball,ÇÇ¹¯ÀºÃ¶±¸,,Accessories,Armor,,Both_Accessory,0,0,0,0,0,0,False,False,100000
